	V0=0.175			
				
				
				
V0=0.175				
				
0.00136	6.77519E-06	0.017717396	0.017724172	
0.00544	6.77528E-06	0.018064547	0.018071322	
0.01224	6.77563E-06	0.018418784	0.01842556	
0.02176	6.77624E-06	0.018780426	0.018787202	
0.034	6.7772E-06	0.019149477	0.019156254	
0.04896	6.77842E-06	0.019526283	0.019533061	
0.06664	6.77999E-06	0.019910993	0.019917773	
0.08704	6.78182E-06	0.020303753	0.020310535	
0.11016	6.78392E-06	0.020704748	0.020711531	
0.136	6.78636E-06	0.021114201	0.021120987	
0.16456	6.78907E-06	0.021532113	0.021538902	
0.19584	6.79204E-06	0.021958916	0.021965708	
0.22984	6.79536E-06	0.022394505	0.0224013	
0.26656	6.79894E-06	0.022839094	0.022845893	
0.306	6.80278E-06	0.023293025	0.023299827	
0.34816	6.80697E-06	0.02375612	0.023762927	
0.39304	6.81151E-06	0.024228783	0.024235595	
0.44064	6.81631E-06	0.024711171	0.024717988	
0.49096	6.82138E-06	0.025203303	0.025210125	
0.544	6.82688E-06	0.025705616	0.025712443	
0.59976	6.83255E-06	0.026218206	0.026225038	
0.65824	6.83858E-06	0.026741268	0.026748107	
0.71944	6.84495E-06	0.027275026	0.027281871	
0.78336	6.85158E-06	0.0278197	0.027826552	
0.85	6.85866E-06	0.028375431	0.02838229	
0.91936	6.8659E-06	0.028942734	0.0289496	
0.99144	6.87359E-06	0.029521543	0.029528417	
1.06624	6.88153E-06	0.030112576	0.030119457	
1.14376	6.88982E-06	0.030715422	0.030722312	
1.224	6.89847E-06	0.031331111	0.03133801	
1.30696	6.90746E-06	0.031959591	0.031966499	
1.39264	6.9168E-06	0.032601109	0.032608026	
1.48104	6.92641E-06	0.033255936	0.033262863	
1.57216	6.93645E-06	0.033924716	0.033931652	
1.666	6.94684E-06	0.034607146	0.034614092	
1.76256	6.95749E-06	0.035304248	0.035311205	
1.86184	6.96858E-06	0.036015551	0.036022519	
1.96384	6.98001E-06	0.036741642	0.036748622	
2.06856	6.9918E-06	0.037483159	0.037490151	
2.176	7.00402E-06	0.038238891	0.038245895	
2.28616	7.01651E-06	0.03901132	0.039018336	
2.39904	7.02952E-06	0.039798573	0.039805602	
2.51464	7.04279E-06	0.040601756	0.040608799	
2.63296	7.0565E-06	0.041421014	0.04142807	
2.754	7.07064E-06	0.042256429	0.0422635	
2.87776	7.08513E-06	0.043108932	0.043116017	
3.00424	7.10006E-06	0.043977542	0.043984642	
3.13344	7.11534E-06	0.044863081	0.044870196	
3.26536	7.13114E-06	0.045766213	0.045773344	
3.4	7.1473E-06	0.046687804	0.046694951	
3.53736	7.16397E-06	0.047626573	0.047633737	
3.67744	7.181E-06	0.048584504	0.048591685	
3.82024	7.19846E-06	0.049561749	0.049568947	
3.96576	7.21644E-06	0.050559727	0.050566943	
4.114	7.23487E-06	0.051578376	0.05158561	
4.26496	7.25372E-06	0.05261888	0.052626133	
4.41864	7.27311E-06	0.053681798	0.053689071	
4.57504	7.29301E-06	0.054767559	0.054774852	
4.73416	7.31336E-06	0.055877974	0.055885288	
4.896	7.33414E-06	0.05701204	0.057019374	
5.06056	7.35553E-06	0.05817137	0.058178725	
